en_sentence	de_sentence	fr_sentence	multi	binary
What happened to you?	Was ist mit dir passiert?	Qu'est-ce qui t'es arrivé ?	4,7	0
For us, business is lousy.	Das Geschäft läuft sehr schlecht.	Les affaires ne vont pas fort.	6	0
If we didn't have a price on our heads, we'd get out of this hole.	Wäre kein Kopfgeld auf uns ausgesetzt, wären wir nicht mehr hier.	Si on n'était pas recherchés, on sortirait de ce trou.	4	0
Why don't we have a drink for old time's sake?	Lasst uns einen auf die alten Zeiten trinken.	On boit un coup en souvenir du bon vieux temps ?	2,5	1
Nothing doing.	So nicht.	Rien à faire.	3	0
Anyways, no good no more, Kid.	So was ist nichts mehr wert, Kid.	Et puis ça ne vaut plus rien.	6	0
Nobody cares.	Das interessiert niemand mehr.	Tout le monde s'en fiche.	1,3	0
Remember the Herefords in Yatrona County?	Erinnerst du dich an die Rinder in Yatrona County?	Il y a les Hereford du Yatrona.	2,5	1
Anybody for buying a round?	Schmeißt jemand eine Runde?	Qui paie sa tournée ?	2	1
You'll need more than just two of us.	Da müssen aber noch mehr mitmachen.	Il faudrait être plus de deux.	1,8	0
- Then it's all settled.	- Wenn alles klar ist.	- C'est décidé.	8	1
You got something to say about our plan?	Sie äußern sich zu unserem Plan?	Vous avez quelque chose à dire sur notre plan ?	1	0
I'm against it.	Ich bin dagegen.	Je m'y oppose.	1	0
What do you think we ought to do that's fitting and proper?	Was würden Sie denn für passend und anständig halten?	Qu'est-ce qu'on doit faire qui soit convenable ?	1,2	0
That butcher, Eggers, he'll take 35 head... and butcher them himself.	Eggers, der Metzger, nimmt 35 Stück... und schlachtet sie selbst.	Ce boucher, Eggers, prendra 35 têtes... et il les découpera lui-même.	4	0
What's that got to do with a train?	Was hat das mit dem Zug zu tun?	Quel rapport avec un train ?	1,7	0
- I will drink to that!	- Darauf trinke ich einen!	- Buvons à ça !	5	1
If you didn't try new things, there'd be no progress.	Wer nichts wagt, gewinnt nichts.	Il faut essayer pour faire des progrès.	5,7	1
This studying on revenge is turning your back on the future... and letting the past eat at your heart.	Ständig auf Rache zu sinnen, bringt einen nicht weiter... und die Vergangenheit zehrt nur an einem.	Cette obsession de vengeance vous détourne de l'avenir... et laisse le passé vous dévorer.	3,4,6	0
They can't get us in Hole in the Wall.	Im Hole-in-the-Wall-Tal kriegen sie uns nicht.	Ils ne peuvent rien contre nous ici.	1,4	0
We can use Shelleen's own plan for train robbery.	Wir können Shelleens Plan für einen Zugüberfall nehmen.	On utilisera le plan de Shelleen pour l'attaque.	2,5	1
The first time I ask you to do one thing for me, like rob a train...	Jetzt bitte ich mal um etwas, zum Beispiel einen Zug zu überfallen...	Et dès que je demande un petit service, comme attaquer un train...	1,6	0
Some gang!	Ihr seid eine schöne Bande!	Quelle équipe !	1,5,8	1
A horse-ranch Indian, a drunken gunfighter, a sex maniac... and an uncle!	Ein Indianer, ein betrunkener Revolverheld, ein Sexbesessener... und ein Onkel!	Un fermier indien, un tireur alcoolique, un obsédé sexuel... et un oncle !	7	None
I'm gonna do it alone!	Dann tu ich es halt allein!	Je le ferai toute seule !	1,8	0
I'm taking a bath.	Ich nehme ein Bad.	Je prends un bain.	2,5	1
What's so odd about that?	Was ist daran so seltsam?	Quoi d'étrange à ça ?	2	1
Much obliged!	Ich danke vielmals.	Merci beaucoup !	8	1
He's alive!	Er ist noch am Leben!	Il est vivant !	5,7	1
We gotta let him out!	Wir müssen ihn rauslassen!	Il faut le sortir de là !	1,4	0
Put up your hands!	Hände hoch!	Les mains en l'air !	1	0
Let me in!	Lasst mich rein!	Ouvrez-moi !	1,4	0
It's a train robbery.	Der Zug wird überfallen.	C'est une attaque.	4	0
Get along with it.	Dann regeln Sie das.	Finissez-en.	1	0
- What are we gonna do?	- Was sollen wir tun?	- On fait quoi ?	4	0
He won't open the safe.	Er macht den Tresor nicht auf.	Il refuse d'ouvrir le coffre.	1	0
That right, mister?	Stimmt das?	C'est vrai ça ?	1	0
We take this, they'll booger us forever!	Wir nehmen das, das reicht uns ewig!	Si on les prend, ils ne nous lâcheront jamais !	4	0
Who's afraid of a little booger?	Wer würde so was ausschlagen?	Ça vous effraie tant que ça ?	3	0
Let's get outta here!	Wir müssen hier weg.	Filons d'ici !	1,2,3,4	0
The messenger seemed like a nice man.	Der Kurier schien ein netter Mann zu sein.	Le coursier avait l'air sympathique.	8	1
Shelleen, it was a great plan!	Shelleen, das war ein toller Plan!	C'était un très bon plan !	5	1
Yeah, we're just like clockwork.	Alles klappte wie am Schnürchen.	Comme sur des roulettes.	5	1
It's just beginner's luck.	Anfängerglück.	La chance du débutant.	1,6,7	0
- Ask him how we'll get outta here.	- Fragt ihn, wie wir hier wegkommen.	- Demandez-lui comment on s'enfuit.	4	0
You darling, Shelleen!	Liebster Shelleen!	Mon Shelleen adoré !	5	1
Will you lend me a bullet?	Leihst du mir eine Kugel?	Tu me prêtes une balle ?	8	1
It was just like old times.	Es war wie in alten Zeiten.	C'était comme au bon vieux temps.	5,6	1
Time was I'd squeeze a pimple like you.	Früher hätte ich so jemanden wie eine Fliege zerdrückt.	J'ai mouché d'autres morveux pour moins que ça.	3	0
What's the matter with you two?	Was ist mit euch beiden nur los?	Qu'est-ce qui vous prend ?	1,3,4	0
Give the old man a drink.	Gebt dem Alten was zu trinken.	Donnez à boire à l'ancien.	1,2,4	0
There's more where that came from.	Da ist noch mehr zu holen.	Il y en a encore à prendre.	2	1
We did it, Mr. Cassidy.	Wir haben es getan, Mr. Cassidy.	Nous avons réussi.	2,5	1
My gang!	Meine Bande!	Ma bande !	8	1
